filename,question,answer
./articles/H/Heart block.txt,What are the symptoms of Heart block?,"The symptoms of heart block can vary depending on the degree of the block:

- **First-degree heart block**: Most often, there are no symptoms.
- **Second-degree and third-degree heart block**: Symptoms may include:
  - Chest pain
  - Dizziness
  - Feeling faint or fainting
  - Tiredness
  - Heart palpitations (feeling like your heart is pounding, beating irregularly, or racing)"
./articles/H/Heart block.txt,What is the treatment for Heart block?,"The treatment for heart block depends on the severity and type of heart block. Here are some possible treatments:

1. **Medicines**: Some medicines can be used to treat heart block, but in some cases, medicines may also cause heart block as a side effect. It's important to discuss any medicines with your healthcare provider.

2. **Pacemaker**: A pacemaker is a small device that's placed under the skin in your chest to help control your heartbeat. It can help treat slow heart rates or help both sides of your heart contract at the same time.

3. **Treating the cause**: If heart block is caused by another condition, such as a heart attack or heart disease, treating that condition may help improve heart block.

If you have heart block, it's very important to follow your healthcare provider's advice and go to all your appointments."
./articles/H/Hepatic hemangioma.txt,What are the symptoms of Hepatic hemangioma?,"Most hepatic hemangiomas do not produce symptoms. However, in rare cases, symptoms may include:

- A growth in the abdomen (if the hemangioma is large)
- Anemia (low red blood cell count)
- Signs of heart failure (in infants with a specific type of hemangioma called benign infantile hemangioendothelioma)
- In rare cases, a ruptured hemangioma may cause internal bleeding, leading to an enlarged liver and abdominal pain"
./articles/H/Hepatic hemangioma.txt,What is the treatment for Hepatic hemangioma?,"The treatment for hepatic hemangioma depends on the size, location, and whether it's causing symptoms. Here are some possible treatments:

1. **Observation**: Most small or uncomplicated hemangiomas may not need treatment. They often go away on their own.
2. **Medications**: Beta-blockers can help reduce the size of a hemangioma. Steroids, taken by mouth or injected, can be used for larger or mixed hemangiomas.
3. **Procedures**: Lasers may be used to remove small blood vessels. For cavernous hemangiomas that involve the eyelid and block vision, lasers or steroid injections can shrink them.
4. **Surgery**: In some cases, surgery may be needed to remove the tumor, especially if it's causing pain or other problems.
5. **Embolization**: This is a procedure where a material is inserted in a blood vessel of the liver to block it.
6. **Ligation**: This is the tying off of a liver artery.

The goal of treatment is to manage any symptoms and prevent complications. The outlook is generally good, as most hemangiomas disappear over time."
./articles/H/Hodgkin lymphoma in children.txt,What are the symptoms of Hodgkin lymphoma in children?,"The symptoms of Hodgkin lymphoma in children include:

- Painless swelling of the lymph nodes in the neck, armpits, or groin (what you might think of as swollen glands)
- Unexplained fever
- Unexplained weight loss
- Night sweats
- Feeling weak or tired
- Loss of appetite"
./articles/H/Hodgkin lymphoma in children.txt,What is the treatment for Hodgkin lymphoma in children?,"The treatment for Hodgkin lymphoma in children depends on several factors, including the type of Hodgkin lymphoma, the stage of the disease (where it has spread), and the presence of symptoms like fever, weight loss, and night sweats. Based on these factors, your child will be grouped into low-risk, intermediate-risk, or high-risk categories.

Here are the main treatment options:

1. **Chemotherapy**: This is usually the first treatment given. Chemotherapy medicines are typically given in a clinic through a vein (IV) and sometimes by mouth. Your child may need to stay in the hospital at first but will usually live at home during treatment.

2. **Radiation Therapy**: This may be used depending on the response to chemotherapy. It uses high-powered x-rays aimed at cancer-affected areas.

3. **Immunotherapy**: This targets and kills specific cancer cells.

4. **High-Dose Chemotherapy with Stem Cell Transplant**: In some cases, high-dose chemotherapy may be followed by a stem cell transplant using your child's own stem cells.

5. **Surgery**: This is not commonly used to remove this type of cancer but may be needed in rare cases.

Other considerations include your child's age, sex, and potential treatment side effects. It's important to discuss these treatments and their potential side effects with your healthcare provider."
./articles/H/Hemophilia B.txt,What are the symptoms of Hemophilia B?,"The main symptom of hemophilia B is bleeding. This can show up in various ways, including:

- Bleeding into joints, which can cause pain and swelling
- Blood in the urine or stool
- Bruising
- Bleeding in the gastrointestinal tract and urinary tract
- Nosebleeds
- Prolonged bleeding from cuts, tooth extraction, and surgery
- Bleeding that starts without any apparent cause

In severe cases, internal bleeding can occur anywhere in the body."
./articles/H/Hemophilia B.txt,What is the treatment for Hemophilia B?,"The most common treatment for Hemophilia B is to replace the missing clotting factor in the blood through intravenous infusions (injecting directly into a vein). Specifically, you will receive factor IX concentrates. The amount of factor IX you need depends on several things:
- How severe the bleeding is
- Where the bleeding is happening
- Your weight and height

To prevent a bleeding crisis, people with hemophilia B and their families can be taught to give factor IX concentrates at home at the first signs of bleeding. People with severe forms of the disease may need regular, preventive infusions.

If you have severe hemophilia B, you may also need to take additional measures as advised by your healthcare provider."
./articles/H/Hemophilia B.txt,How can Hemophilia B be prevented?,I am unsure. The provided context does not mention ways to prevent Hemophilia B.
./articles/H/Hemophilia.txt,What are the symptoms of Hemophilia?,"The main symptom of hemophilia is prolonged bleeding. Other symptoms may include:

- Bleeding into joints with associated pain and swelling
- Blood in the urine or stool
- Bruising
- Gastrointestinal tract and urinary tract bleeding
- Nosebleeds
- Prolonged bleeding from cuts, tooth extraction, and surgery
- Bleeding that starts without cause

Symptoms can vary and may show up differently in each person. In mild cases, symptoms may not be noticed until later in life, often after surgery or an injury. In severe cases, bleeding may occur for no reason."
./articles/H/Hemophilia.txt,What is the treatment for Hemophilia?,"The most common treatment for hemophilia is replacing the missing clotting factor in the blood through intravenous infusions (injecting directly into the veins). This helps the blood to clot properly. For hemophilia A, this means giving factor VIII concentrates, and for hemophilia B, it involves giving factor IX concentrates.

In some cases, a medicine called DDAVP may be used to help the body release stored factor VIII. For people with severe forms of the disease, regular preventive treatment may be needed.

If the person develops antibodies (inhibitors) that attack the clotting factors, a man-made clotting factor called VIIa can be given.

It's also important for people with hemophilia to get the hepatitis B vaccine because they may receive blood products and are at a higher risk for hepatitis B.

Regular checkups with a hematologist (a doctor who specializes in blood disorders) are essential for managing hemophilia."
./articles/H/Huntington disease.txt,What are the symptoms of Huntington disease?,"The symptoms of Huntington disease (HD) can vary, but they often include:

- **Abnormal movements**, often described as jerking or writhing movements.
- **Difficulty with balance and coordination**.
- **Speech and swallowing difficulties**.
- **Mental changes**, such as:
  - Anxiety, stress, and tension.
  - Depression.
  - Problems with thinking and reasoning.
  - Changes in personality.

In children, symptoms may include:
- Rigidity.
- Slow movements.
- Tremor.

These symptoms typically get worse over time."
./articles/H/Huntington disease.txt,What is the treatment for Huntington disease?,"There is no cure for Huntington disease (HD). The goal of treatment is to slow the symptoms and help the person function for as long as possible. Medicines can be prescribed depending on the symptoms. Here are some examples:

- Dopamine blockers may help reduce abnormal behaviors and movements.
- Drugs such as amantadine and tetrabenazine can be used to try to control extra movements.

It's also important to manage other symptoms and complications, such as:

- **Depression and suicide risk**: People with HD are at high risk for depression and suicide, so it's crucial for caregivers to monitor for symptoms and seek medical help right away.
- **Behavioral problems**: Aggressive behavior and other issues can occur, and may need professional management.

As the disease progresses, the person will need assistance and supervision, and may eventually need 24-hour care. Medicine specialists, support groups, and genetic counseling can also help affected people and their families cope with the disease."
./articles/H/Huntington disease.txt,How can Huntington disease be prevented?,"I'm unsure, as the provided context does not mention any ways to prevent Huntington disease."
./articles/H/Hypovolemic shock.txt,What are the symptoms of Hypovolemic shock?,"The symptoms of hypovolemic shock may include:

- Anxiety or agitation
- Cool, clammy skin
- Confusion
- Decreased or no urine output
- Generalized weakness
- Pale skin color (pallor)
- Rapid breathing
- Sweating, moist skin
- Unconsciousness (lack of responsiveness)

The greater and more rapid the blood loss, the more severe the symptoms of shock."
./articles/H/Hypovolemic shock.txt,What is the treatment for Hypovolemic shock?,"The treatment for hypovolemic shock involves replacing blood and fluids as quickly as possible. Here's what might be done:

1. **Fluids through a needle (IV)**: Blood, blood products, or other fluids will be given through an intravenous line to help increase blood volume and blood pressure.
2. **Medicines**: Drugs like epinephrine or norepinephrine may be used to increase blood pressure and improve the amount of blood pumped out of the heart. Other medicines, like antibiotics, might be given if there's an infection.
3. **Positioning**: The person should be kept comfortable and warm. They may be laid flat with feet lifted about 12 inches (30 centimeters) to increase circulation, unless there's a head, neck, back, or leg injury.
4. **Emergency medical help**: Hypovolemic shock is a medical emergency, so it's important to get medical help right away."
./articles/H/Hypovolemic shock.txt,How can Hypovolemic shock be prevented?,Preventing hypovolemic shock is easier than trying to treat it once it happens. Quickly treating the cause will reduce the risk of developing severe shock. Early first aid can help control shock.
./articles/H/Heart attack.txt,What are the symptoms of Heart attack?,"The symptoms of a heart attack can include:

- **Chest pain**: This is the most common symptom. It can feel like a tight band around the chest, bad indigestion, something heavy sitting on your chest, squeezing, or heavy pressure. The pain may move from your chest to your arms, shoulder, neck, teeth, jaw, belly area, or back. It can be severe or mild and usually lasts longer than 20 minutes.
- **Other symptoms**: Anxiety, cough, fainting, lightheadedness, dizziness, nausea and vomiting, palpitations (feeling like your heart is beating too fast or irregularly), shortness of breath, and sweating (which may be very heavy).

Some people, including older adults, people with diabetes, and women, may have little or no chest pain or may have atypical symptoms such as shortness of breath, fatigue, and weakness. A ""silent heart attack"" can also include changes in mental status, cold sweat, and numbness, aching, or tingling in the arm."
./articles/H/Heart attack.txt,What is the treatment for Heart attack?,"Based on the provided context, the treatment for a heart attack involves the following:

1. **Medicines**:
   - Thrombolytic therapy: Medicines to dissolve blood clots. These are best given soon after the onset of symptoms, ideally within 30 minutes of arriving at the hospital and usually no later than 12 hours after.
   - Medicines to treat heart problems and prevent more heart attacks, which may need to be taken for the rest of your life.

2. **Procedures**:
   - Some people may have heart bypass surgery (coronary artery bypass grafting or open heart surgery) to open narrowed or blocked blood vessels that supply blood to the heart.

3. **Lifestyle Changes**:
   - Learning how to take medicines to treat your heart problem.
   - Eating a heart-healthy diet.
   - Being active and exercising safely.
   - Knowing what to do when you have chest pain.
   - Stopping smoking.

4. **Emotional Support**:
   - Managing strong emotions, such as feeling sad or anxious, which are common after a heart attack.

5. **Rehabilitation**:
   - Cardiac rehabilitation may be recommended after a heart attack. This includes supervised exercise, nutrition and lifestyle counseling, and other therapies to prevent heart disease from getting worse."
./articles/H/Hepatitis B - children.txt,What are the symptoms of Hepatitis B - children?,"In children, symptoms of hepatitis B may not appear for up to 6 months after infection. Early symptoms, if they appear, may include:

- Appetite loss
- Fatigue
- Low fever
- Muscle and joint aches
- Nausea and vomiting
- Yellow skin (jaundice)
- Dark urine

Some children, especially younger ones, may not have any symptoms but can still spread the virus. If the body is able to fight off the infection, these symptoms will go away in a few weeks to months. This is called acute hepatitis B. However, some children may develop a long-term infection called chronic hepatitis B, which often does not have symptoms but can lead to liver damage over time."
./articles/H/Hepatitis B - children.txt,What is the treatment for Hepatitis B - children?,"The treatment for Hepatitis B in children depends on whether the infection is acute (short-term) or chronic (long-term).

For acute hepatitis B:
- No special treatment is needed.
- The child's immune system will fight the disease.
- Make sure the child gets plenty of rest, drinks lots of fluids, and eats healthy foods.

For chronic hepatitis B:
- The goal of treatment is to relieve symptoms, prevent the disease from spreading, and help prevent liver disease.
- The child's provider may recommend antiviral medicines, such as:
  - Interferon alpha-2b (Intron A) for children age 1 year and older.
  - Lamivudine (Epivir) and entecavir (Baraclude) for children age 2 years and older.
  - Tenofovir (Viread) for children age 12 years and older.
- These medicines decrease or remove HBV from the blood.
- Not all children with chronic hepatitis B will need these medicines. They may be given when:
  - Liver function quickly gets worse.
  - The liver shows signs of long-term damage.
  - HBV level is high in the blood."
./articles/H/Hepatitis B - children.txt,How can Hepatitis B - children be prevented?,"Hepatitis B in children can be prevented through several measures:

1. **Vaccination**: Babies should get their first dose of the hepatitis B vaccine at birth. They should have all 3 shots in the series by age 6 to 18 months. Children younger than age 19 years who have not had the vaccine should get ""catch-up"" doses.

2. **Avoiding Contact with Infected Blood and Body Fluids**: Children should avoid contact with blood and body fluids. They should not share toothbrushes or any other items that may be infected.

3. **Maternal Screening**: All women should be screened for HBV during pregnancy. If a pregnant woman has hepatitis B, their baby can receive a special hepatitis B vaccine and a hepatitis B immune globulin (HBIG) shot within 12 hours of birth to help prevent infection.

4. **Breastfeeding**: Mothers with an HBV infection can breastfeed their child after the baby has been immunized.

These steps help prevent the spread of hepatitis B from person-to-person and protect children from infection."
./articles/H/Hodgkin lymphoma.txt,What are the symptoms of Hodgkin lymphoma?,"The symptoms of Hodgkin lymphoma include:

- Painless swelling of the lymph nodes in the neck, armpits, or groin (swollen glands)
- Unexplained fever
- Unexplained weight loss
- Night sweats
- Feeling weak or tired
- Loss of appetite
- Itching all over the body that cannot be explained
- Fever and chills that come and go
- Drenching night sweats
- Coughing, chest pains, or breathing problems if there are swollen lymph nodes in the chest
- Excessive sweating
- Pain or feeling of fullness below the ribs due to swollen spleen or liver
- Pain in lymph nodes after drinking alcohol
- Skin blushing or flushing

If you or someone else is experiencing these symptoms, it's important to talk to a healthcare provider for a proper evaluation."
./articles/H/Hodgkin lymphoma.txt,What is the treatment for Hodgkin lymphoma?,"The treatment for Hodgkin lymphoma depends on several factors, including the type of lymphoma, the stage of the disease (how far it has spread), your age, other medical issues, and whether you have symptoms like weight loss, night sweats, and fever. Here are the main treatment options:

1. **Chemotherapy**: This is a common first treatment, which involves using medicines to kill cancer cells. It's usually given through a vein (IV) and sometimes by mouth.

2. **Radiation Therapy**: This uses high-powered x-rays to kill cancer cells. It's often used after chemotherapy to target any remaining cancer cells.

3. **Immunotherapy**: This helps your immune system fight the cancer. It targets and kills specific cancer cells.

4. **High-dose Chemotherapy with Stem Cell Transplant**: If the lymphoma returns or doesn't respond to initial treatment, high-dose chemotherapy may be given, followed by a transplant using your own stem cells.

5. **Blood or Platelet Transfusions**: These may be needed if blood counts are low due to treatment.

Your healthcare provider will discuss the best treatment options for your specific case."
./articles/H/Hemophilia A.txt,What are the symptoms of Hemophilia A?,"The main symptom of hemophilia A is prolonged bleeding. Other symptoms may include:

- Bleeding into joints with associated pain and swelling
- Blood in the urine or stool
- Bruising
- Gastrointestinal tract and urinary tract bleeding
- Nosebleeds
- Prolonged bleeding from cuts, tooth extraction, and surgery
- Bleeding that starts without cause

In mild cases, symptoms may not be noticed until later in life, often after surgery or injury. In severe cases, bleeding may occur for no reason and can happen anywhere internally."
./articles/H/Hemophilia A.txt,What is the treatment for Hemophilia A?,"The most common treatment for Hemophilia A is replacing the missing clotting factor in the blood through intravenous infusions (injecting directly into the vein). This is done using factor VIII concentrates. The amount of factor VIII given depends on several things: the severity of the bleeding, the location of the bleeding, and the person's weight and height. In mild cases of hemophilia A, a medicine called desmopressin (DDAVP) may be used. DDAVP helps the body release factor VIII that is stored within the lining of blood vessels.

Additionally, people with hemophilia A may need regular preventive treatment, especially for severe forms of the disease. It's also important to get the hepatitis B vaccine, as people with hemophilia are more likely to get hepatitis B because they may receive blood products.

In some cases, people with hemophilia A develop antibodies to factor VIII, called inhibitors. If this happens, a man-made clotting factor called VIIa can be given.

Regular checkups with a hematologist (a doctor specializing in blood disorders) are essential for managing hemophilia A."
./articles/H/Hemophilia A.txt,How can Hemophilia A be prevented?,"Based on the provided context, hemophilia A cannot be prevented since it is an inherited genetic disorder. However, genetic counseling may be recommended for those with a family history of hemophilia. Testing can identify women and girls who carry the hemophilia gene, and testing can be done during pregnancy on a baby in the mother's womb. This doesn't prevent hemophilia but can help families be prepared and informed."
./articles/H/Hemolytic-uremic syndrome.txt,What are the symptoms of Hemolytic-uremic syndrome?,"The symptoms of Hemolytic-uremic syndrome (HUS) may include:

- Blood in the stool
- No urination or reduced urine output
- Reduced alertness (consciousness)
- Seizures (rare)
- Pallor (pale skin color)
- Skin rash that looks like fine red spots (petechiae)
- Liver or spleen swelling
- Nervous system changes"
./articles/H/Hemolytic-uremic syndrome.txt,What is the treatment for Hemolytic-uremic syndrome?,I'm unsure about the specific treatment for Hemolytic-uremic syndrome (HUS) as it is not provided in the context.
./articles/H/Hemolytic-uremic syndrome.txt,How can Hemolytic-uremic syndrome be prevented?,"To prevent Hemolytic-uremic syndrome (HUS), you can take the following steps:

1. **Cook meats thoroughly**: Ensure that hamburger and other meats are well-cooked to kill any E. coli bacteria that may be present.
2. **Avoid unclean water**: Stay away from swimming in or drinking water that may be contaminated.
3. **Practice good hygiene**: Follow proper hand washing methods to prevent the spread of infection.

These precautions help to avoid the E. coli infection that often causes HUS."
./articles/H/Hepatic ischemia.txt,What are the symptoms of Hepatic ischemia?,I'm unsure about the specific symptoms of hepatic ischemia as they are not detailed in the provided context.
./articles/H/Hepatic ischemia.txt,What is the treatment for Hepatic ischemia?,"The treatment for hepatic ischemia depends on the cause. If it's due to low blood pressure or blood clots, these conditions must be treated right away. This may involve medications to manage low blood pressure or anticoagulants to address blood clots. The goal is to restore proper blood flow to the liver to prevent or minimize damage."
./articles/H/Hepatic ischemia.txt,How can Hepatic ischemia be prevented?,Quickly treating the causes of low blood pressure may prevent hepatic ischemia.
./articles/H/Heart failure in children.txt,What are the symptoms of Heart failure in children?,"In infants, symptoms of heart failure may include:
- Rapid or difficult breathing, even when at rest
- Taking longer than normal to feed or becoming too tired to continue feeding after a short time
- Fast or strong heartbeat noticed through the chest wall when the child is at rest
- Not gaining enough weight

In older children, symptoms may include:
- Cough
- Fatigue, weakness, or faintness
- Loss of appetite
- Need to urinate at night
- Fast or irregular pulse, or a sensation of feeling the heartbeat (palpitations)
- Shortness of breath when active or after lying down
- Swollen (enlarged) liver or abdomen
- Swollen feet and ankles
- Waking up from sleep after a couple of hours due to shortness of breath
- Weight gain"
./articles/H/Heart failure in children.txt,What is the treatment for Heart failure in children?,"The treatment for heart failure in children typically involves several approaches:

1. **Medicines**: These are used to treat symptoms and prevent heart failure from getting worse. They can:
   - Help the heart muscle pump better.
   - Keep blood from clotting.
   - Open up blood vessels or slow the heart rate so the heart does not have to work as hard.
   - Reduce damage to the heart and reduce the risk for abnormal heart rhythms.
   - Rid the body of excess fluid and salt (sodium) and replace potassium.

2. **Surgery and Devices**: Some children may need surgeries or devices, such as:
   - Surgery to correct different heart defects or heart valve surgery.
   - A pacemaker to help treat slow heart rates or help both sides of the heart contract at the same time.
   - An implanted defibrillator to prevent dangerous heart rhythms.
   - Heart transplantation for severe, end-stage heart failure.

3. **Lifestyle Changes**:
   - Limiting salt intake and possibly fluid intake.
   - Ensuring the child gets enough calories for growth and development.
   - Following a safe and effective exercise and activity plan provided by the child's healthcare provider.

4. **Monitoring**:
   - Parents and caregivers need to learn how to monitor the child at home and recognize symptoms early to help the child stay out of the hospital.
   - Regularly checking heart rate, pulse, blood pressure, and weight."
./articles/H/Hepatitis C.txt,What are the symptoms of Hepatitis C?,"Symptoms of Hepatitis C may include:

- Pain in the right upper abdomen
- Clay-colored or pale stools
- Dark urine
- Tiredness
- Fever
- Yellow skin and eyes (jaundice)
- Loss of appetite
- Nausea and vomiting

However, most children with hepatitis C do not show any symptoms until more advanced liver damage is present."
./articles/H/Hepatitis C.txt,What is the treatment for Hepatitis C?,"The treatment for hepatitis C depends on whether it's acute or chronic.

- **Acute hepatitis C**: This usually doesn't need any special treatment. It often clears up on its own within a few weeks to 6 months. Rest, fluids, and healthy eating can help with symptoms.

- **Chronic hepatitis C**: This needs treatment to prevent complications. The goal is to stop the virus from causing liver damage. Antiviral medicines are used for treatment. These medicines have fewer side effects, are easier to take, and are taken by mouth. One such medicine, sofosbuvir/velpatasvir, is approved for children 3 years and older. Children younger than 3 may not need treatment as their infection often resolves without complications.

Always consult with a healthcare provider for advice tailored to a specific situation."
./articles/H/Hepatitis C.txt,How can Hepatitis C be prevented?,"To prevent Hepatitis C:

- **Avoid contact with blood**: Be careful with anything that might have blood on it.
- **Clean blood spills**: Use a mixture of bleach and water to clean up any blood spills.
- **Cover cuts and sores**: Keep any open wounds covered to avoid contact with body fluids.
- **Do not share personal items**: Avoid sharing things like toothbrushes, razors, or any other items that might have blood on them.
- **Practice safe sex**: Use protection during sexual contact.
- **Be cautious with tattoos and piercings**: Make sure any instruments used are properly cleaned.
- **Avoid sharing drug needles or equipment**.

Currently, there is no vaccine for Hepatitis C, so prevention is very important."
./articles/H/HELLP syndrome.txt,What are the symptoms of HELLP syndrome?,"The symptoms of HELLP syndrome include:

- Fatigue or feeling unwell
- Fluid retention and excess weight gain
- Headache
- Nausea and vomiting that continues to get worse
- Pain in the upper right or mid part of the abdomen
- Blurry vision
- Nosebleed or other bleeding that will not stop easily (rare)
- Seizures or convulsions (rare)"
./articles/H/HELLP syndrome.txt,What is the treatment for HELLP syndrome?,"The main treatment for HELLP syndrome is to deliver the baby as soon as possible, even if the baby is premature. This is because problems with the liver and other complications can quickly get worse and be harmful to both the mother and child. Your provider may:

- Induce labor by giving medicines to start labor.
- Perform a C-section.

Other treatments you may receive include:
- A blood transfusion if bleeding problems become severe.
- Corticosteroid medicines to help the baby's lungs develop faster.
- Medicines to treat high blood pressure.
- Magnesium sulfate infusion to prevent seizures.

It's very important to have regular prenatal checkups and let your provider know right away if you have symptoms of this condition."
./articles/H/Head injury - first aid.txt,What are the symptoms of Head injury - first aid?,"Based on the provided context, the symptoms of a head injury that require first aid can include:

- Bleeding from a wound, ears, nose, or around the eyes
- Bruising behind the ears or under the eyes
- Changes in pupil size or reactivity to light
- Confusion or changes in behavior
- Loss of consciousness (even briefly)
- Difficulty waking up or excessive sleepiness
- Stiff neck
- Changes in speech (slurred, difficult to understand, or not making sense)
- Double vision or blurred vision
- Fever
- Fluid or blood leaking from the nose or ears
- Headache that is worsening, persistent, or not relieved by over-the-counter pain relievers
- Problems walking or talking
- Seizures (uncontrolled jerking of the arms or legs)
- Vomiting more than three times

If any of these symptoms are present, especially after a head injury, it's important to seek medical help immediately."
./articles/H/Head injury - first aid.txt,How can Head injury - first aid be prevented?,"I am unsure as the provided context does not include information about preventing head injuries for the specific section ""Head injury - first aid."" However, in the ""Prevention"" section under a different topic, it mentions general steps to increase safety and prevent head injuries, such as using safety equipment, following bicycle safety recommendations, not drinking and driving, and ensuring children use safety seats in a car."
./articles/H/Herniated disk.txt,What are the symptoms of Herniated disk?,"The symptoms of a herniated disk vary depending on where the injury occurs:

1. **Lower Back (Lumbar) Herniated Disk:**
   - Sharp pain in one part of the leg, hip, or buttocks
   - Numbness in other parts of the leg, hip, or buttocks
   - Pain or numbness in the back of the calf or sole of the foot
   - Weakness in the same leg

2. **Neck (Cervical) Herniated Disk:**
   - Pain when moving your neck
   - Deep pain near or over the shoulder blade
   - Pain that moves to the upper arm, forearm, and sometimes the hand
   - Numbness or tingling in shoulders or arms"
./articles/H/Herniated disk.txt,What is the treatment for Herniated disk?,"Based on the provided context, the treatment for a herniated disk typically starts with a short period of rest and taking medicines for the pain. Here are the steps:

1. **Medicines**: Your provider may prescribe:
   - Nonsteroidal anti-inflammatory drugs (NSAIDs) for long-term pain control
   - Narcotics if the pain is severe and does not respond to NSAIDs
   - Medicines to calm the nerves
   - Muscle relaxants to relieve back spasms

2. **Physical Therapy**: After a short period of rest, physical therapy is often recommended. This helps strengthen muscles that support the spine and increases flexibility in your spine and legs.

3. **Lifestyle Changes**: If you are overweight, diet and exercise are important for improving back pain.

4. **Further Treatment**: If the above treatments do not help, further options may include:
   - Steroid injections to reduce swelling and relieve symptoms
   - Surgery, such as diskectomy, to remove the herniated part of the disk if symptoms do not go away with other treatments

5. **Alternative Treatment**: In some cases, total disk replacement (TDR) surgery may be done to restore normal movement of the backbone."
./articles/H/Herniated disk.txt,How can Herniated disk be prevented?,"Based on the provided context, here are some ways to prevent a herniated disk:

1. **Proper lifting technique**: Use your legs, not your back, to lift heavy objects.
2. **Maintain a healthy weight**: Being overweight can put extra pressure on your disks.
3. **Avoid repetitive bending or twisting** of your back or neck.
4. **Avoid sitting or standing in the same position** for long hours. Take regular breaks to move around.
5. **Stay active**: Regular exercise can help keep your back strong and flexible.
6. **Don't smoke**: Smoking can increase the risk of a herniated disk.
7. **Strengthen your back and core muscles**: This can help support your spine."
./articles/H/HIVAIDS in pregnant women and infants.txt,What are the symptoms of HIVAIDS in pregnant women and infants?,"I'm unsure about the symptoms of HIV/AIDS in pregnant women as the provided context doesn't include this information. However, I can share the symptoms that may appear in infants infected with HIV:

Early symptoms in infants may include:
- Yeast (candida) infections in the mouth
- Failure to gain weight and grow
- Swollen lymph glands
- Swollen salivary glands
- Enlarged spleen or liver
- Ear and sinus infections
- Upper respiratory tract infections
- Being slow to walk, crawl, or speak compared to healthy babies
- Diarrhea

Without treatment, a child's immune system weakens over time, and they may develop severe infections that can be caused by bacteria, viruses, fungi, protozoa, or parasites. At this point, the illness has become full-blown AIDS."
./articles/H/HIVAIDS in pregnant women and infants.txt,What is the treatment for HIVAIDS in pregnant women and infants?,"The treatment for HIV/AIDS in pregnant women and infants is called antiretroviral therapy (ART). These are medicines that stop the virus from multiplying.

For pregnant women:
- They receive ART during pregnancy, most often a three-drug regimen.
- If a woman tests positive during labor, she will receive ART right away, sometimes through a vein (IV).

For infants born to infected mothers:
- They start receiving ART within 6 to 12 hours after birth.
- The treatment continues for at least 6 weeks after birth."
./articles/H/HIVAIDS in pregnant women and infants.txt,How can HIVAIDS in pregnant women and infants be prevented?,"HIV/AIDS in pregnant women and infants can be prevented through several ways:

1. **Treating pregnant women with HIV**: If a woman tests positive for HIV during pregnancy, she will receive antiretroviral therapy (ART) to prevent the virus from passing to her child. This is usually a three-drug regimen and has a low risk for the baby.

2. **Treating infants born to infected mothers**: Infants start receiving ART within 6 to 12 hours after birth and continue for at least 6 weeks.

3. **Avoiding breastfeeding**: HIV-positive women should not breastfeed, even if they are taking HIV medicines, as this can pass HIV to the baby through breast milk.

4. **Early testing and treatment**: The earlier a woman starts ART during pregnancy, the lower the chance of infection in the child. If a woman's HIV status is not found until labor, ART can reduce the rate of infection in infants to about 10%.

5. **Support and education**: Pregnant women should talk to their healthcare provider about the risk to their unborn child and methods to prevent their baby from becoming infected."
./articles/H/Hemangioma.txt,What are the symptoms of Hemangioma?,"The symptoms of a hemangioma are:
- A red to reddish-purple, raised growth on the skin
- A massive, raised, bluish lump with visible blood vessels

Most hemangiomas are found on the head, neck, or extremities (arms, legs, hands, or feet)."
./articles/H/Hemangioma.txt,What is the treatment for Hemangioma?,"The treatment for hemangioma depends on its size, location, and whether it's causing any problems. Here are some possible treatments:

1. **Observation**: Many small or uncomplicated hemangiomas may not need treatment. They often go away on their own.
2. **Laser Treatment**: Lasers may be used to remove small blood vessels.
3. **Medications**:
   - Beta-blocker medicines may help reduce the size of a hemangioma.
   - Steroids, taken by mouth or injected into the hemangioma, can shrink large cavernous or mixed hemangiomas.
4. **Treatment for Vision Issues**: If a hemangioma is blocking vision, lasers or steroid injections may be used to shrink it.

The goal of treatment is to control symptoms and prevent complications. Always consult with a healthcare provider for advice tailored to a specific situation."
./articles/H/Hemangioma.txt,How can Hemangioma be prevented?,"Based on the provided context, there is no information on how to prevent a hemangioma."
./articles/H/Hemorrhoids.txt,What are the symptoms of Hemorrhoids?,"The symptoms of hemorrhoids may include:

- Painless bright red blood from the rectum
- Anal itching
- Anal ache or pain, especially while sitting
- Pain during bowel movements
- One or more hard or tender lumps near the anus

Most of the time, hemorrhoids are not painful, but if a blood clot forms, they can be very painful."
